BankURL,UserName,ReviewRating,UserLocation,ReviewTitle,comments,ReviewDate
www.dugood.org,ridley McKinley,5,US,I have had nothing but good experience…,I have had nothing but good experience dealing with do good and Lumberton Texas have a knowledgeable staff very friendly and very helpful,"Date of experience: February 26, 2018"
www.dugood.org,Mary Cappadonna Young,5,US,Great Experience,I have been a member for over 25 years and can honestly say it has been a great experience.  I have never had a problem with Dugood. When I had a situation I explained it to them and they were eager to help me resolve it.,"Date of experience: February 26, 2018"
www.dugood.org,Anonymous,4,US,Good So Far,"Very good service so far, however, some very petty experiences that could have easily been resolved are hindering my 5 star review.","Date of experience: February 26, 2018"
www.dugood.org,Connie,5,US,I had an excellent experience with my…,I had an excellent experience with my loan application.   I did it online. Service was fast and easy.,"Date of experience: February 26, 2018"
www.dugood.org,Donald P,5,US,People who work for Nederland Dugood…,People who work for Nederland Dugood are friendly and fast.,"Date of experience: February 26, 2018"
www.dugood.org,Jeremy,5,US,I have been with DuGood going on 16…,"I have been with DuGood going on 16 Years, they have been very helpful with all problems to this day and have never had any negative feedback. I just want to to thank them and tell anyone that if yp)u want good customer service go to DuGood Federal Credit Union.","Date of experience: February 26, 2018"
www.dugood.org,Donald,5,US,The easy doing business with y’all and…,The easy doing business with y’all and the knowledge of the stagg.,"Date of experience: February 26, 2018"
www.dugood.org,Judith,5,US,Pleasant staff with very good  sociall skills,Pleasant staff with very good  social skills,"Date of experience: February 26, 2018"
www.dugood.org,Shawntay,5,US,Begin a member was the most amazing…,Begin a member was the most amazing experience I've had. They are very professional and I thank everyone for the support..,"Date of experience: February 26, 2018"
www.dugood.org,Displeased Member,3,US,No longer member friendly,There were a couple of times that I went into the branch on Major drive and they were not very helpful with my needs. The manager seemed dis-interested to my problem. The credit union used to be more member friendly.  I was very disappointed in the way things are now,"Date of experience: February 26, 2018"
www.dugood.org,Christi Carter,5,US,Member for 45 years!,"I have had an account here since before I could count.  As a very small child my dad brought me in, set me on the counter and we opened my savings account.  Great service.  Excellent fraud detection department.  Wouldn’t bank anywhere else!","Date of experience: February 26, 2018"
www.dugood.org,Selina,5,US,Friendly and helpful staff.,,"Date of experience: February 26, 2018"
www.dugood.org,Lisa,5,US,I have been with the credit union since…,"I have been with the credit union since I was 18 years old.    They have helped me purchase many vehicles and various things.    I have always been able to depend on them and would never go anywhere else.   I am now 51 years old,","Date of experience: February 26, 2018"
www.dugood.org,Gwen Nuckols,5,US,Best Credit Union ever!!,"My late husband worked for DuPont starting around 1963 and as soon as we could, we started our account with the Credit Union and I continued to use them after he died.  They have always been great to deal with and I hope others will find them as helpful as we did.","Date of experience: February 26, 2018"
www.dugood.org,Troy,5,US,The DuGood Credit Union has made many…,The DuGood Credit Union has made many significant and positive changes over the last 2 years.  I am now able to handle my banking needs on a mobile platform with ease and very little downtime.  Thank you also for providing excellent customer service.  Love this credit union!,"Date of experience: February 26, 2018"
www.dugood.org,Lauren,5,US,I have never Ever been disappointed…,I have never Ever been disappointed with my experiences at DuGood Credit Union.  I am always greeted with a welcoming smile and my transactions are handled swiftly and accurately.  LOVE my DuGood!,"Date of experience: February 26, 2018"
www.dugood.org,Stormy ,5,US,Love my bank,"Love my bank....they go above and beyond to make sure you are taken care of, Thank You Dupont","Date of experience: February 26, 2018"
www.dugood.org,Lisa,1,US,Port Neches location,my experience at the Port Neches location is usually bad. Especially when I go through the drive through. When I am making a withdrawal I am never asked how want my cash to be returned back to me and there have been several instances when an employee has given me the incorrect amount. The customer service I have received at that location is usually not that good either.,"Date of experience: February 25, 2018"
www.dugood.org,Cynthia Toutcheque member of Port Neches,5,US,COMPLEMENT TO PORT NECHES/Complaint Against Beaumont,"I always have quick, knowledgeable and courteous employees to wait on me.  I even went to a location out of my area recently and I am pleased to report to you that I got the same exact type of service.  On the other hand, I was trying to help my boyfriend's elderly mother at the credit union across the street from yours in Beaumont.  I was given the wrong info, I was treated like a criminal when they told me they had to ""seize"" my boyfriend's debit card from me, and me and his mother were lied to on the phone about putting me on her account so I could pay her bills.  There's more.  There score on everything is ZERO.  I HAVE NEVER BEEN TREATED LIKE THAT BY ANY FINANCIAL INSTITUTION IN MY LIFE.  SO PLEASE TELL YOUR EMPLOYEES TO TREAT YOUR EMPLOYEES WITH KINDNESS, RESPECT AND UNDERSTANDING.  TELL THEM TO JUST DO THEIR JOB TO THE FULLEST.  IF THEY WANT TO OR NEED TO GO ABOVE AND BEYOND THE REGULAR CALL OF DUTY, THEN PLEASE DON'T GET YOURSELF IN TROUBLE --- GO GET PERMISSION AND JUST KNOW THAT YOU HAVE DONE EVERYTHING THAT YOU CAN DO.  ANY CUSTOMER SHOULD APPRECIATE THAT OVER BEING LIED TO.","Date of experience: February 25, 2018"
www.dugood.org,Seira,3,US,Ok experience,Ok experience. The women were just okay.,"Date of experience: February 23, 2018"
www.dugood.org,T. Block ,5,US,DuGood will always be my C.U.!,"DuGood has always been my families go to credit union, so when I was old enough for my first account and credit card that's exactly where I went too!The employees are always welcoming and helpful. I love our local branch!","Date of experience: February 21, 2018"
www.dugood.org,Darryl,5,US,Very courteous,"Very courteous,  helpful,  friendly","Date of experience: February 20, 2018"
www.dugood.org,Angela,5,US,Great Place to trust with your money…,Great Place to trust with your money and any financial information or stuff you need. We have been account holders for 20 years and they treat you like family and actually care when you have a problem.,"Date of experience: February 19, 2018"
www.dugood.org,Meggie,3,US,Dupont needs to improve the process for…,Dupont needs to improve the process for fraud incidents.  Dupont needs to hire more people to work in their fraud dept.,"Date of experience: February 19, 2018"
www.dugood.org,Daniel,5,US,Tellers are always nice,Tellers are always nice.  Branch Manager has never come out of her office and introduced herself.  She needs to work on that.,"Date of experience: February 18, 2018"
www.dugood.org,James,4,US,I have been with you since 1973,,"Date of experience: February 18, 2018"
www.dugood.org,Derek D,5,US,All ways professional and curious with…,All ways professional and curious with all my transactions for the past 33 years thank yall keep up the great work,"Date of experience: February 18, 2018"
www.dugood.org,Mark,5,US,Very professional and helpful!,We have always had a positive experience with this company. When we need a loan or anything to do with our account they are always very helpful. Would highly recommend!!,"Date of experience: February 18, 2018"
www.dugood.org,Lisa,5,US,Excellent service,"Excellent service, hometown feel.","Date of experience: February 17, 2018"
www.dugood.org,Terri,5,US,I love the updates that are texted to…,I love the updates that are texted to my phone.,"Date of experience: February 17, 2018"
www.dugood.org,Eugene,5,US,DuGood has good customer service.,In spite of the time required to effect a response I rate DuGood highly because they do respond. John has been my contact the few times I had a problem and gave excellent service.,"Date of experience: February 17, 2018"
